col1,col2,col3,col4
0.97,0.02,-0.25,-0.52
0.25,-0.08,0.96,0.92
0.0,-1.0,-0.09,-0.22
0.0,0.0,0.0,1.0
0.97,0.03,-0.26,-0.53
0.26,-0.1,0.96,0.93
0.0,-0.99,-0.11,-0.22
0.0,0.0,0.0,1.0
0.98,0.01,-0.22,-0.52
0.22,-0.06,0.97,0.92
-0.0,-1.0,-0.06,-0.22
0.0,0.0,0.0,1.0
0.97,0.01,-0.24,-0.53
0.24,-0.05,0.97,0.92
0.0,-1.0,-0.05,-0.22
0.0,0.0,0.0,1.0
0.97,0.01,-0.23,-0.53
0.23,-0.06,0.97,0.92
-0.0,-1.0,-0.06,-0.22
0.0,0.0,0.0,1.0
0.97,0.02,-0.23,-0.53
0.23,-0.07,0.97,0.93
0.0,-1.0,-0.07,-0.22
0.0,0.0,0.0,1.0
0.97,0.02,-0.23,-0.53
0.23,-0.07,0.97,0.92
0.0,-1.0,-0.07,-0.22
0.0,0.0,0.0,1.0
0.97,0.02,-0.23,-0.53
0.23,-0.07,0.97,0.92
-0.0,-1.0,-0.07,-0.22
0.0,0.0,0.0,1.0
0.97,0.01,-0.23,-0.53
0.23,-0.06,0.97,0.93
-0.0,-1.0,-0.06,-0.22
0.0,0.0,0.0,1.0
0.97,0.01,-0.22,-0.53
0.22,-0.06,0.97,0.92
0.0,-1.0,-0.06,-0.22
0.0,0.0,0.0,1.0
0.96,0.04,-0.26,-0.53
0.26,-0.12,0.96,0.93
0.01,-0.99,-0.13,-0.23
0.0,0.0,0.0,1.0
0.97,0.03,-0.25,-0.53
0.25,-0.1,0.96,0.93
0.01,-0.99,-0.11,-0.23
0.0,0.0,0.0,1.0
0.97,0.02,-0.24,-0.53
0.24,-0.08,0.97,0.92
-0.0,-1.0,-0.08,-0.23
0.0,0.0,0.0,1.0
0.97,0.02,-0.25,-0.53
0.25,-0.09,0.96,0.92
0.0,-1.0,-0.09,-0.23
0.0,0.0,0.0,1.0
0.97,0.02,-0.23,-0.53
0.24,-0.07,0.97,0.92
0.0,-1.0,-0.07,-0.23
0.0,0.0,0.0,1.0
0.97,0.01,-0.24,-0.53
0.24,-0.05,0.97,0.91
-0.0,-1.0,-0.06,-0.23
0.0,0.0,0.0,1.0
0.97,0.01,-0.24,-0.53
0.24,-0.06,0.97,0.91
-0.0,-1.0,-0.06,-0.23
0.0,0.0,0.0,1.0
0.97,0.02,-0.23,-0.53
0.24,-0.07,0.97,0.92
0.0,-1.0,-0.07,-0.23
0.0,0.0,0.0,1.0
0.97,0.01,-0.25,-0.52
0.25,-0.04,0.97,0.91
0.0,-1.0,-0.04,-0.23
0.0,0.0,0.0,1.0
0.94,0.05,-0.33,-0.51
0.34,-0.1,0.94,0.92
0.01,-0.99,-0.11,-0.23
0.0,0.0,0.0,1.0
0.89,0.01,-0.45,-0.5
0.45,-0.04,0.89,0.93
-0.01,-1.0,-0.04,-0.23
0.0,0.0,0.0,1.0
0.91,0.02,-0.42,-0.5
0.42,-0.14,0.9,0.94
-0.04,-0.99,-0.14,-0.22
0.0,0.0,0.0,1.0
0.86,-0.03,-0.51,-0.49
0.51,-0.09,0.85,0.95
-0.07,-1.0,-0.07,-0.22
0.0,0.0,0.0,1.0
0.86,-0.02,-0.52,-0.47
0.52,-0.02,0.86,0.95
-0.03,-1.0,-0.01,-0.19
0.0,0.0,0.0,1.0
0.9,0.03,-0.43,-0.44
0.43,-0.05,0.9,0.96
0.01,-1.0,-0.06,-0.16
0.0,0.0,0.0,1.0
0.96,0.1,-0.25,-0.4
0.27,-0.2,0.94,0.97
0.05,-0.97,-0.22,-0.13
0.0,0.0,0.0,1.0
0.95,0.09,-0.28,-0.12
0.28,0.04,0.96,1.03
0.1,-0.99,0.01,-0.03
0.0,0.0,0.0,1.0
0.99,0.1,-0.12,0.46
0.11,0.09,0.99,1.04
0.11,-0.99,0.08,-0.03
0.0,0.0,0.0,1.0
0.99,0.08,-0.12,0.49
0.11,0.07,0.99,1.04
0.09,-0.99,0.07,-0.04
0.0,0.0,0.0,1.0
