col1,col2,col3,col4
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.48,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.47,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.47,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.47,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.47,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.47,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.47,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
0.86,0.2,-0.47,0.0
0.52,-0.27,0.81,0.01
0.04,-0.94,-0.34,-0.0
0.0,0.0,0.0,1.0
