col1,col2,col3,col4
0.94,-0.03,-0.34,-0.71
0.34,0.19,0.92,1.32
0.04,-0.98,0.18,-0.04
0.0,0.0,0.0,1.0
0.93,-0.02,-0.36,-0.72
0.36,0.16,0.92,1.33
0.04,-0.99,0.16,-0.04
0.0,0.0,0.0,1.0
0.94,-0.02,-0.35,-0.71
0.34,0.17,0.92,1.33
0.04,-0.99,0.17,-0.04
0.0,0.0,0.0,1.0
0.94,-0.02,-0.34,-0.71
0.33,0.18,0.93,1.32
0.04,-0.98,0.18,-0.04
0.0,0.0,0.0,1.0
0.94,-0.01,-0.34,-0.72
0.33,0.16,0.93,1.33
0.04,-0.99,0.16,-0.04
0.0,0.0,0.0,1.0
0.94,-0.02,-0.34,-0.71
0.33,0.17,0.93,1.33
0.04,-0.98,0.17,-0.04
0.0,0.0,0.0,1.0
0.94,-0.02,-0.35,-0.71
0.34,0.17,0.92,1.33
0.04,-0.98,0.17,-0.04
0.0,0.0,0.0,1.0
0.94,-0.0,-0.33,-0.72
0.33,0.14,0.93,1.33
0.04,-0.99,0.13,-0.04
0.0,0.0,0.0,1.0
0.93,-0.02,-0.37,-0.72
0.36,0.17,0.92,1.33
0.05,-0.99,0.16,-0.04
0.0,0.0,0.0,1.0
0.94,-0.01,-0.34,-0.72
0.34,0.16,0.93,1.33
0.04,-0.99,0.16,-0.04
0.0,0.0,0.0,1.0
0.92,-0.03,-0.39,-0.72
0.39,0.19,0.9,1.33
0.04,-0.98,0.18,-0.04
0.0,0.0,0.0,1.0
0.93,-0.01,-0.37,-0.72
0.37,0.16,0.92,1.33
0.05,-0.99,0.16,-0.04
0.0,0.0,0.0,1.0
0.94,-0.02,-0.33,-0.71
0.33,0.17,0.93,1.32
0.04,-0.98,0.17,-0.04
0.0,0.0,0.0,1.0
0.93,-0.03,-0.37,-0.72
0.36,0.18,0.91,1.33
0.04,-0.98,0.18,-0.04
0.0,0.0,0.0,1.0
0.92,-0.03,-0.39,-0.72
0.39,0.18,0.91,1.33
0.04,-0.98,0.17,-0.04
0.0,0.0,0.0,1.0
0.94,-0.05,-0.34,-0.71
0.34,0.15,0.93,1.33
0.01,-0.99,0.16,-0.03
0.0,0.0,0.0,1.0
0.93,-0.08,-0.35,-0.69
0.36,0.18,0.92,1.32
-0.01,-0.98,0.19,-0.02
0.0,0.0,0.0,1.0
0.94,-0.09,-0.34,-0.66
0.35,0.17,0.92,1.34
-0.03,-0.98,0.19,0.02
0.0,0.0,0.0,1.0
0.87,-0.08,-0.49,-0.61
0.49,0.1,0.87,1.35
-0.02,-0.99,0.12,0.08
0.0,0.0,0.0,1.0
0.93,-0.13,-0.35,-0.53
0.37,0.18,0.91,1.35
-0.05,-0.97,0.22,0.14
0.0,0.0,0.0,1.0
0.97,-0.17,-0.19,-0.44
0.24,0.3,0.92,1.34
-0.1,-0.94,0.33,0.2
0.0,0.0,0.0,1.0
0.98,-0.2,-0.06,-0.35
0.11,0.24,0.96,1.35
-0.17,-0.95,0.26,0.25
