col1,col2,col3,col4
1.0,-0.01,0.05,0.43
-0.05,0.03,1.0,1.51
-0.02,-1.0,0.03,-0.03
0.0,0.0,0.0,1.0
0.87,-0.02,0.49,0.43
-0.49,-0.02,0.87,1.51
-0.01,-1.0,-0.03,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.06,0.43
-0.06,0.01,1.0,1.51
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.07,0.43
-0.07,-0.01,1.0,1.52
-0.02,-1.0,-0.01,-0.03
0.0,0.0,0.0,1.0
0.94,-0.05,0.32,0.43
-0.33,-0.11,0.94,1.52
-0.01,-0.99,-0.12,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.06,0.43
-0.06,0.01,1.0,1.51
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
0.87,-0.02,0.49,0.43
-0.49,-0.02,0.87,1.51
-0.01,-1.0,-0.03,-0.03
0.0,0.0,0.0,1.0
0.86,-0.04,0.5,0.43
-0.5,-0.05,0.86,1.5
-0.01,-1.0,-0.06,-0.03
0.0,0.0,0.0,1.0
0.99,-0.02,0.11,0.43
-0.11,-0.01,0.99,1.52
-0.02,-1.0,-0.01,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.05,0.43
-0.05,0.03,1.0,1.51
-0.02,-1.0,0.03,-0.03
0.0,0.0,0.0,1.0
0.96,-0.02,0.28,0.43
-0.28,-0.01,0.96,1.53
-0.01,-1.0,-0.02,-0.03
0.0,0.0,0.0,1.0
1.0,-0.01,0.04,0.43
-0.04,0.03,1.0,1.51
-0.01,-1.0,0.03,-0.03
0.0,0.0,0.0,1.0
1.0,-0.01,0.09,0.43
-0.09,0.05,0.99,1.52
-0.01,-1.0,0.05,-0.03
0.0,0.0,0.0,1.0
0.88,-0.03,0.47,0.43
-0.47,-0.03,0.88,1.51
-0.01,-1.0,-0.05,-0.03
0.0,0.0,0.0,1.0
0.88,-0.04,0.47,0.43
-0.47,-0.06,0.88,1.51
-0.01,-1.0,-0.07,-0.03
0.0,0.0,0.0,1.0
0.87,-0.05,0.49,0.43
-0.49,-0.07,0.87,1.51
-0.01,-1.0,-0.08,-0.03
0.0,0.0,0.0,1.0
0.96,-0.02,0.28,0.43
-0.28,-0.01,0.96,1.53
-0.02,-1.0,-0.01,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.03,0.43
-0.03,0.02,1.0,1.51
-0.02,-1.0,0.02,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.06,0.43
-0.06,-0.01,1.0,1.51
-0.02,-1.0,-0.01,-0.03
0.0,0.0,0.0,1.0
0.88,-0.04,0.48,0.43
-0.48,-0.07,0.88,1.51
-0.0,-1.0,-0.08,-0.03
0.0,0.0,0.0,1.0
1.0,-0.01,0.03,0.43
-0.03,0.05,1.0,1.51
-0.01,-1.0,0.05,-0.03
0.0,0.0,0.0,1.0
0.99,-0.02,0.12,0.43
-0.12,-0.01,0.99,1.52
-0.02,-1.0,-0.02,-0.03
0.0,0.0,0.0,1.0
0.95,-0.03,0.32,0.43
-0.32,-0.03,0.95,1.53
-0.01,-1.0,-0.04,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.05,0.43
-0.05,0.01,1.0,1.51
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
0.89,-0.05,0.46,0.43
-0.46,-0.08,0.88,1.51
-0.0,-1.0,-0.1,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.04,0.43
-0.04,0.01,1.0,1.51
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
0.96,-0.04,0.28,0.43
-0.28,-0.08,0.96,1.53
-0.02,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.96,-0.0,0.27,0.43
-0.27,0.05,0.96,1.53
-0.02,-1.0,0.04,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.06,0.43
-0.06,0.02,1.0,1.51
-0.02,-1.0,0.02,-0.03
0.0,0.0,0.0,1.0
0.88,-0.06,0.47,0.43
-0.47,-0.11,0.87,1.51
-0.0,-0.99,-0.13,-0.03
0.0,0.0,0.0,1.0
0.92,-0.04,0.39,0.43
-0.39,-0.06,0.92,1.52
-0.01,-1.0,-0.07,-0.03
0.0,0.0,0.0,1.0
0.99,-0.02,0.13,0.43
-0.13,-0.01,0.99,1.52
-0.02,-1.0,-0.02,-0.03
0.0,0.0,0.0,1.0
0.93,-0.04,0.37,0.43
-0.37,-0.06,0.93,1.53
-0.01,-1.0,-0.07,-0.03
0.0,0.0,0.0,1.0
0.93,-0.02,0.36,0.43
-0.36,-0.01,0.93,1.53
-0.02,-1.0,-0.01,-0.03
0.0,0.0,0.0,1.0
0.88,-0.05,0.47,0.43
-0.47,-0.07,0.88,1.51
-0.01,-1.0,-0.08,-0.03
0.0,0.0,0.0,1.0
0.97,-0.02,0.25,0.43
-0.25,-0.0,0.97,1.53
-0.02,-1.0,-0.01,-0.03
0.0,0.0,0.0,1.0
0.87,-0.04,0.49,0.43
-0.49,-0.04,0.87,1.51
-0.01,-1.0,-0.06,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.06,0.43
-0.06,0.01,1.0,1.52
-0.02,-1.0,0.0,-0.03
0.0,0.0,0.0,1.0
0.88,-0.04,0.47,0.43
-0.48,-0.06,0.88,1.51
-0.01,-1.0,-0.07,-0.03
0.0,0.0,0.0,1.0
0.87,-0.04,0.48,0.43
-0.48,-0.06,0.87,1.51
-0.01,-1.0,-0.07,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.02,0.43
-0.02,0.01,1.0,1.51
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
0.97,-0.02,0.23,0.43
-0.23,0.02,0.97,1.53
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
0.99,-0.02,0.14,0.43
-0.14,-0.02,0.99,1.53
-0.02,-1.0,-0.03,-0.03
0.0,0.0,0.0,1.0
0.87,-0.03,0.49,0.43
-0.49,-0.03,0.87,1.51
-0.01,-1.0,-0.04,-0.03
0.0,0.0,0.0,1.0
0.95,-0.03,0.33,0.43
-0.33,-0.04,0.94,1.53
-0.02,-1.0,-0.05,-0.03
0.0,0.0,0.0,1.0
0.87,-0.03,0.49,0.43
-0.49,-0.04,0.87,1.51
-0.01,-1.0,-0.05,-0.03
0.0,0.0,0.0,1.0
0.94,-0.0,0.34,0.43
-0.34,0.05,0.94,1.53
-0.02,-1.0,0.04,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.04,0.43
-0.04,0.02,1.0,1.51
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
0.96,-0.01,0.29,0.43
-0.29,0.01,0.96,1.53
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
0.89,-0.05,0.46,0.43
-0.46,-0.08,0.88,1.51
-0.01,-1.0,-0.1,-0.03
0.0,0.0,0.0,1.0
0.93,0.0,0.36,0.43
-0.36,0.05,0.93,1.52
-0.02,-1.0,0.05,-0.03
0.0,0.0,0.0,1.0
1.0,-0.01,0.05,0.43
-0.05,0.06,1.0,1.51
-0.01,-1.0,0.06,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.03,0.43
-0.03,0.03,1.0,1.51
-0.02,-1.0,0.03,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.04,0.43
-0.04,0.02,1.0,1.51
-0.02,-1.0,0.02,-0.03
0.0,0.0,0.0,1.0
0.98,-0.04,0.2,0.43
-0.2,-0.09,0.98,1.53
-0.02,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.89,-0.03,0.46,0.43
-0.46,-0.04,0.89,1.51
-0.01,-1.0,-0.05,-0.03
0.0,0.0,0.0,1.0
0.99,-0.02,0.11,0.43
-0.11,-0.0,0.99,1.52
-0.02,-1.0,-0.0,-0.03
0.0,0.0,0.0,1.0
0.88,-0.05,0.47,0.43
-0.47,-0.07,0.88,1.51
-0.01,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.99,-0.01,0.15,0.43
-0.15,0.03,0.99,1.52
-0.02,-1.0,0.03,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.07,0.43
-0.07,0.01,1.0,1.51
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
0.87,-0.05,0.49,0.43
-0.49,-0.07,0.87,1.51
-0.0,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.88,-0.05,0.48,0.43
-0.48,-0.08,0.87,1.51
-0.0,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.89,-0.03,0.46,0.43
-0.46,-0.03,0.89,1.51
-0.01,-1.0,-0.04,-0.03
0.0,0.0,0.0,1.0
0.98,-0.01,0.19,0.43
-0.19,0.04,0.98,1.53
-0.02,-1.0,0.04,-0.03
0.0,0.0,0.0,1.0
0.98,-0.0,0.22,0.43
-0.22,0.06,0.97,1.53
-0.02,-1.0,0.06,-0.03
0.0,0.0,0.0,1.0
0.96,0.0,0.27,0.43
-0.27,0.07,0.96,1.53
-0.02,-1.0,0.07,-0.03
0.0,0.0,0.0,1.0
0.87,-0.05,0.49,0.43
-0.49,-0.08,0.87,1.51
-0.0,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.88,-0.05,0.48,0.43
-0.48,-0.08,0.87,1.51
-0.0,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.96,-0.03,0.28,0.43
-0.28,-0.04,0.96,1.53
-0.02,-1.0,-0.05,-0.03
0.0,0.0,0.0,1.0
0.96,-0.03,0.29,0.43
-0.29,-0.04,0.96,1.53
-0.02,-1.0,-0.05,-0.03
0.0,0.0,0.0,1.0
0.9,-0.05,0.43,0.43
-0.44,-0.08,0.9,1.52
-0.01,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.98,-0.02,0.2,0.43
-0.2,0.01,0.98,1.53
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
1.0,-0.01,0.04,0.43
-0.04,0.05,1.0,1.51
-0.01,-1.0,0.05,-0.03
0.0,0.0,0.0,1.0
0.92,-0.04,0.39,0.43
-0.39,-0.07,0.92,1.52
-0.01,-1.0,-0.08,-0.03
0.0,0.0,0.0,1.0
1.0,-0.01,0.07,0.43
-0.07,0.05,1.0,1.51
-0.01,-1.0,0.05,-0.03
0.0,0.0,0.0,1.0
0.9,-0.04,0.44,0.43
-0.44,-0.07,0.89,1.52
-0.01,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.92,-0.03,0.38,0.43
-0.38,-0.03,0.92,1.52
-0.02,-1.0,-0.04,-0.03
0.0,0.0,0.0,1.0
0.88,-0.04,0.48,0.43
-0.48,-0.06,0.88,1.51
-0.0,-1.0,-0.07,-0.03
0.0,0.0,0.0,1.0
0.89,-0.05,0.45,0.43
-0.45,-0.08,0.89,1.51
-0.0,-1.0,-0.1,-0.03
0.0,0.0,0.0,1.0
0.97,-0.01,0.22,0.43
-0.22,0.03,0.97,1.53
-0.02,-1.0,0.03,-0.03
0.0,0.0,0.0,1.0
0.96,-0.01,0.27,0.43
-0.27,0.01,0.96,1.53
-0.01,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
0.88,-0.05,0.46,0.43
-0.47,-0.08,0.88,1.51
-0.0,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.93,-0.04,0.36,0.43
-0.36,-0.06,0.93,1.52
-0.01,-1.0,-0.07,-0.03
0.0,0.0,0.0,1.0
0.89,-0.04,0.46,0.43
-0.46,-0.08,0.88,1.51
-0.0,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.89,-0.05,0.46,0.43
-0.46,-0.08,0.88,1.51
-0.0,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.88,-0.04,0.48,0.43
-0.48,-0.06,0.87,1.51
-0.01,-1.0,-0.07,-0.03
0.0,0.0,0.0,1.0
0.88,-0.03,0.47,0.43
-0.47,-0.03,0.88,1.51
-0.01,-1.0,-0.04,-0.03
0.0,0.0,0.0,1.0
0.87,-0.04,0.49,0.43
-0.49,-0.07,0.87,1.51
-0.0,-1.0,-0.08,-0.03
0.0,0.0,0.0,1.0
0.88,-0.05,0.46,0.43
-0.47,-0.08,0.88,1.51
-0.0,-1.0,-0.1,-0.03
0.0,0.0,0.0,1.0
1.0,-0.01,0.04,0.43
-0.04,0.05,1.0,1.51
-0.01,-1.0,0.04,-0.03
0.0,0.0,0.0,1.0
0.97,-0.02,0.22,0.43
-0.22,0.01,0.97,1.53
-0.02,-1.0,0.01,-0.03
0.0,0.0,0.0,1.0
1.0,-0.01,0.05,0.43
-0.05,0.07,1.0,1.51
-0.01,-1.0,0.07,-0.03
0.0,0.0,0.0,1.0
0.94,-0.03,0.35,0.43
-0.35,-0.04,0.94,1.53
-0.02,-1.0,-0.05,-0.03
0.0,0.0,0.0,1.0
0.94,-0.04,0.34,0.43
-0.34,-0.07,0.94,1.52
-0.01,-1.0,-0.08,-0.03
0.0,0.0,0.0,1.0
1.0,-0.02,0.07,0.43
-0.07,0.0,1.0,1.51
-0.02,-1.0,0.0,-0.03
0.0,0.0,0.0,1.0
0.98,-0.0,0.21,0.43
-0.21,0.07,0.98,1.52
-0.02,-1.0,0.07,-0.03
0.0,0.0,0.0,1.0
0.99,-0.01,0.1,0.43
-0.1,0.05,0.99,1.52
-0.02,-1.0,0.05,-0.03
0.0,0.0,0.0,1.0
1.0,-0.01,0.08,0.43
-0.08,0.07,0.99,1.51
-0.01,-1.0,0.07,-0.03
0.0,0.0,0.0,1.0
0.93,-0.02,0.36,0.43
-0.36,0.0,0.93,1.52
-0.02,-1.0,-0.01,-0.03
0.0,0.0,0.0,1.0
0.88,-0.05,0.47,0.43
-0.47,-0.07,0.88,1.51
-0.01,-1.0,-0.09,-0.03
0.0,0.0,0.0,1.0
0.88,-0.05,0.48,0.43
-0.48,-0.07,0.87,1.51
-0.01,-1.0,-0.08,-0.03
0.0,0.0,0.0,1.0
